Nom du produit,Marque,RAM,Capacité (mémoire),Couleur(s),Référence,Modèle de téléphone,Prix,Site web,Catégorie
POCO X7 Noir 8 GO + 256 GO,,,,,,,249,cdiscount.com,SMARTPHONE
SAMSUNG Galaxy S23 Ultra 512Go Crème,SAMSUNG,8Go,512Go,Crème,SM-S918BZEHEUB,S23 Ultra,"669,88",cdiscount.com,SMARTPHONE
Smartphone 5G Xiaomi 14 - Double caméra - 512 Go - Noir,XIAOMI,,,,,,"698,9",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
"Smartphone Pas Cher DOOGEE N55 PRO Android 14 16Go + 256Go/1TB Écran de 6.56""Batterie 5150mAh Caméra 13MP Double SIM/OTG/GPS Noir",DOOGEE,,16Go + 256Go,Noir,,DOOGEE N55 PRO,"109,99",cdiscount.com,SMARTPHONE
Samsung Galaxy S24 Smartphone 256 Go Argent,SAMSUNG,8Go,256 Go,Argent,SM-S921BZAGEUB,S24,"596,76",cdiscount.com,SMARTPHONE
XIAOMI Smartphone 14 Ultra 16/512Go Blanc,XIAOMI,,,,XIAOMI-14U-512-BL,,"979,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
"Smartphone Robuste OUKITEL G1 Batterie 10600mAh Écran 6.52""HD+ 24Go+256Go, 48MP+5MP Android 14 Double SIM 4G/GPS Orange",OUKITEL,6Go+18 Go d‘extension,24Go+256Go,Orange,,OUKITEL G1,"149,99",cdiscount.com,SMARTPHONE
APPLE iPhone 12 Pro Max 256Go Argent - Reconditionné - Excellent état,APPLE,,,,MGDD3F/A,,"396,98",cdiscount.com,SMARTPHONE
Samsung Galaxy A55 Smartphone 256 Go 5G Lilas,SAMSUNG,8 Go,256 Go,Lilas,SM-A556BLVCEUB,A55,"349,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
SAMSUNG Galaxy A25 5G Smartphone 128Go Bleu,SAMSUNG,6Go,128 Go,BLEU,,A25,"214,99",cdiscount.com,SMARTPHONE
"DOOGEE S200X Smartphone robuste 5G DDR5 ,Caméra AI 100MP 6,72""FHD+ 120Hz 32+512Go Batterie 10100mAh/33W Android 14 NFC/WiFi6 - Noir",DOOGEE,32Go (12Go + jusqu'à 20go RAM étendue),32 Go de RAM (12 Go + jusqu'à 20 Go de RAM étendue) + 512 Go de ROM,Noir,,S200X,"369,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
Smartphone Nothing Phone (2a) Plus 5G 12Go 256Go Noir 6.7” AMOLED 120 Hz MediaTek Dimensity 7350 Pro 5000 mAh,NOTHING,,,,,,369,cdiscount.com,SMARTPHONE
APPLE iPhone 14 128GB Starlight - Reconditionné - Excellent état,APPLE,,128 Go,Starlight,MPUR3ZD/A,Iphone 14,"406,99",cdiscount.com,SMARTPHONE
APPLE iPhone 13 128 Go Pink (2021) - Reconditionné - Excellent état,APPLE,,128 Go,Rose,MLPH3F/A,Iphone 13,"346,98",cdiscount.com,SMARTPHONE
POCO X7 Pro Noir 12 GO + 512 GO,,,,,,,379,cdiscount.com,SMARTPHONE
Smartphone HUAWEI P30 Pro 256 Go Nacré - Double SIM - Android 9.0 Pie - Lecteur d'empreintes digitales,HUAWEI,8 Go,256 Go,Nacré,51093QFW,,"218,99",cdiscount.com,SMARTPHONE
Smartphone Samsung Galaxy Z Flip4 128Go Noir Graphite 5G,SAMSUNG,8 Go,128 Go,Graphite,SM-F721BZAGEUB,Samsung Galaxy Z Flip4 5G,"299,99",cdiscount.com,SMARTPHONE
HUAWEI P30 Pro 128GO Noir - Reconditionné - Très bon état,HUAWEI,8 Go,128 Go,Noir,51095RJG,,265,cdiscount.com,SMARTPHONE
HOTWAV W11 Téléphone IP68 Étanche 20800mAh 6.6'' FHD+ 12+256Go Smartphone Robuste 64MP+Vision Nocturne 24MP 4G NFC/Face ID-Noir,HOTWAV,12Go (6+6extensible),256Go,Noir,,HOTWAV W11,"219,99",cdiscount.com,SMARTPHONE
Samsung Galaxy A15 4G Smartphone 128 Go Lime,SAMSUNG,4 Go,128 Go,Lime,SM-A155FZYDEUB,A15,"168,99",cdiscount.com,SMARTPHONE
,,,,,,,,cdiscount.com,SMARTPHONE
APPLE iPhone 16 Pro 128GB Desert Titanium,APPLE,,128 Go,Desert Titanium,MYNF3ZD/A,iPhone 16 Pro,1169,cdiscount.com,SMARTPHONE
